x,y,yaw
0,0,0
0,0,0
0.099993333,0.000999967,0.02
0.199946671,0.003999467,0.04
0.299820032,0.0089973,0.06
0.39957347,0.015991468,0.08
0.499167083,0.024979174,0.1
0.598561036,0.035956821,0.12
0.697715573,0.048920019,0.14
0.796591033,0.063863583,0.16
0.895147867,0.080781536,0.18
0.993346654,0.099667111,0.2
1.091148115,0.120512753,0.22
1.188513132,0.143310126,0.24
1.285402759,0.168050109,0.26
1.381778243,0.194722808,0.28
1.477601033,0.223317554,0.3
1.572832803,0.25382291,0.32
1.667690714,0.285476899,0.322200686
1.7625448,0.317142375,0.322200686
1.857398886,0.348807852,0.322200686
1.952252972,0.380473329,0.322200686
2.047107058,0.412138805,0.322200686
2.141961143,0.443804282,0.322200686
2.236815229,0.475469758,0.322200686
2.331669315,0.507135235,0.322200686
2.426523401,0.538800712,0.322200686
2.521377487,0.570466188,0.322200686
2.616231572,0.602131665,0.322200686
2.711085658,0.633797141,0.322200686
2.805939744,0.665462618,0.322200686
2.90079383,0.697128095,0.322200686
2.995647916,0.728793571,0.322200686
3.090502001,0.760459048,0.322200686
3.185356087,0.792124524,0.322200686
3.280210173,0.823790001,0.322200686
3.375064259,0.855455477,0.322200686
3.469918345,0.887120954,0.322200686
3.56477243,0.918786431,0.322200686
3.659626516,0.950451907,0.322200686
3.754480602,0.982117384,0.322200686
3.849334688,1.01378286,0.322200686
3.944188773,1.045448337,0.322200686
4.039042859,1.077113814,0.322200686
4.133896945,1.10877929,0.322200686
4.228751031,1.140444767,0.322200686
4.323605117,1.172110243,0.322200686
4.418459202,1.20377572,0.322200686
4.513313288,1.235441197,0.322200686
4.608167374,1.267106673,0.322200686
4.70302146,1.29877215,0.322200686
4.797875546,1.330437626,0.322200686
4.892729631,1.362103103,0.322200686
4.987583717,1.39376858,0.322200686
5.082437803,1.425434056,0.322200686
5.177291889,1.457099533,0.322200686
5.272145975,1.488765009,0.322200686
5.36700006,1.520430486,0.322200686
5.461854146,1.552095962,0.322200686
5.556708232,1.583761439,0.322200686
5.651562318,1.615426916,0.322200686
5.746416404,1.647092392,0.322200686
5.841270489,1.678757869,0.322200686
5.936124575,1.710423345,0.322200686
